noun,gender,lang
flacon,Sustantivo_masculino,fr
gyroscope,Sustantivo_masculino,fr
gâteau,Sustantivo_masculino,fr
groupement,Sustantivo_masculino,fr
guitariste,Sustantivo_femenino_y_masculino,fr
grumeau,Sustantivo_masculino,fr
Græc,Sustantivo_masculino,fr
guidon,Sustantivo_masculino,fr
gynæcée,Sustantivo_masculino,fr
groupe,Sustantivo_masculino,fr
grimoire,Sustantivo_masculino,fr
grillon,Sustantivo_masculino,fr
gouvernement,Sustantivo_masculino,fr
grand-père,Sustantivo_masculino,fr
gout,Sustantivo_masculino,fr
goupil,Sustantivo_masculino,fr
gorille,Sustantivo_masculino,fr
goudron,Sustantivo_masculino,fr
Godon,Sustantivo_masculino,fr
gonfanon,Sustantivo_masculino,fr
gluten,Sustantivo_masculino_4,fr
goddam,Sustantivo_masculino,fr
gnochon,Sustantivo_masculino,fr
gobinisme,Sustantivo_masculino,fr
godemichet,Sustantivo_masculino,fr
glossaire,Sustantivo_masculino,fr
kaiser,Sustantivo_masculino,fr
jus,Sustantivo_masculino,fr
juge,Sustantivo_masculino,fr
jugement,Sustantivo_masculino,fr
juin,Sustantivo_masculino,fr
juif,Sustantivo_masculino,fr
juillet,Sustantivo_masculino,fr
massage,Sustantivo_masculino,fr
marteau,Sustantivo_masculino,fr
marmiton,Sustantivo_masculino,fr
mas,Sustantivo_masculino_2,fr
marxisme,Sustantivo_masculino_2,fr
mars,Sustantivo_masculino_2,fr
masque,Sustantivo_masculino,fr
marié,Sustantivo_masculino,fr
mari,Sustantivo_masculino_2,fr
marché,Sustantivo_masculino,fr
marais,Sustantivo_masculino,fr
manque,Sustantivo_masculino,fr
marchand,Sustantivo_masculino,fr
manège,Sustantivo_masculino,fr
manœuvre,Sustantivo_femenino_y_masculino,fr
manoeuvre,Sustantivo_femenino_y_masculino,fr
mangeur de grenouille,Sustantivo_masculino,fr
manouvrier,Sustantivo_masculino,fr
mammifère,Sustantivo_masculino,fr
manitou,Sustantivo_masculino,fr
mamelon,Sustantivo_masculino,fr
manger,Sustantivo_masculino,fr
manchot,Sustantivo_masculino,fr
malathion,Sustantivo_masculino,fr
malchanceux,Sustantivo_masculino,fr
major,Sustantivo_masculino,fr
mal,Sustantivo_masculino_3,fr
maire,Sustantivo_masculino_o_femenino,fr
maillot,Sustantivo_masculino,fr
malaise,Sustantivo_masculino,fr
mai,Sustantivo_masculino_2,fr
magnésium,Sustantivo_masculino,fr
magnicide,Sustantivo_masculino,fr
magistrat,Sustantivo_masculino_3,fr
magicien,Sustantivo_masculino,fr
madrier,Sustantivo_masculino,fr
machiniste,Sustantivo_femenino_y_masculino,fr
lépreux,Sustantivo_masculino,fr
léninisme,Sustantivo_masculino,fr
légume,Sustantivo_masculino,fr
légat,Sustantivo_masculino,fr
lys,Sustantivo_masculino,fr
lé,Sustantivo_masculino_2,fr
lusophone,Sustantivo_femenino_y_masculino,fr
lycanthrope,Sustantivo_femenino_y_masculino,fr
lycée,Sustantivo_masculino,fr
lymphœdème,Sustantivo_masculino,fr
narcotrafic,Sustantivo_masculino,fr
narcotique,Sustantivo_masculino,fr
Nahum,Sustantivo_masculino_6,fr
nabot,Sustantivo_masculino,fr
nandou,Sustantivo_masculino,fr
métro,Sustantivo_masculino,fr
nageur,Sustantivo_masculino,fr
métèque,Sustantivo_masculino_y_femenino,fr
parallélépipède,Sustantivo_masculino,fr
pardon,Sustantivo_masculino,fr
paratonnerre,Sustantivo_masculino,fr
parasite,Sustantivo_masculino,fr
pare-feu,Sustantivo_masculino,fr
paraitre,Sustantivo_masculino,fr
parchemin,Sustantivo_masculino,fr
paquet,Sustantivo_masculino_2,fr
paprika,Sustantivo_masculino,fr
papillon,Sustantivo_masculino,fr
panier,Sustantivo_masculino,fr
pandéisme,Sustantivo_masculino,fr
papa,Sustantivo_masculino_2,fr
para,Sustantivo_femenino_5,fr
par,Sustantivo_masculino_5,fr
pampsychiste,Sustantivo_femenino_y_masculino,fr
pan,Sustantivo_masculino_6,fr
paludisme,Sustantivo_masculino,fr
pampsychisme,Sustantivo_masculino,fr
palais,Sustantivo_masculino,fr
paléographe,Sustantivo_masculino,fr
paganisme,Sustantivo_masculino,fr
pain,Sustantivo_masculino,fr
padrão,Sustantivo_masculino_2,fr
pacifisme,Sustantivo_masculino_2,fr
pacha,Sustantivo_masculino,fr
oxymore,Sustantivo_masculino,fr
ove,Sustantivo_masculino,fr
ouvrier,Sustantivo_masculino,fr
oxygène,Sustantivo_masculino,fr
ourson,Sustantivo_masculino,fr
oui,Sustantivo_masculino,fr
ouvrage,Sustantivo_masculino,fr
outil,Sustantivo_masculino,fr
ouragan,Sustantivo_masculino,fr
ours,Sustantivo_masculino,fr
os,Sustantivo_masculino,fr
otage,Sustantivo_masculino_y_femenino,fr
pourcentage,Sustantivo_masculino,fr
pou,Sustantivo_masculino_2,fr
poteau,Sustantivo_masculino,fr
pote,Sustantivo_femenino_y_masculino,fr
pouce,Sustantivo_masculino,fr
poumon,Sustantivo_masculino,fr
poulet,Sustantivo_masculino,fr
pourboire,Sustantivo_masculino,fr
rendement,Sustantivo_masculino,fr
repas,Sustantivo_masculino,fr
rendez-vous,Sustantivo_masculino,fr
renseignement,Sustantivo_masculino,fr
renard,Sustantivo_masculino,fr
renouvellement,Sustantivo_masculino,fr
renom,Sustantivo_masculino,fr
relief,Sustantivo_masculino,fr
relationnel,Sustantivo_masculino,fr
rein,Sustantivo_masculino,fr
religieux,Sustantivo_masculino,fr
relativisme,Sustantivo_masculino,fr
refuge,Sustantivo_masculino,fr
regard,Sustantivo_masculino,fr
reggaeton,Sustantivo_masculino_2,fr
refaiseur,Sustantivo_masculino,fr
recréateur,Sustantivo_masculino,fr
recrutement,Sustantivo_masculino,fr
rectangle,Sustantivo_masculino,fr
record,Sustantivo_masculino,fr
rationalisme,Sustantivo_masculino,fr
rayonnement,Sustantivo_masculino,fr
recommenceur,Sustantivo_masculino,fr
rapport,Sustantivo_masculino,fr
rappel,Sustantivo_masculino,fr
rainette,Sustantivo_masculino,fr
ralenti,Sustantivo_masculino,fr
raisonnement,Sustantivo_masculino,fr
quotient,Sustantivo_masculino,fr
quæsteur,Sustantivo_masculino,fr
quotidien,Sustantivo_masculino,fr
quorum,Sustantivo_masculino_2,fr
questeur,Sustantivo_masculino,fr
quatre-vingts,Sustantivo_masculino,fr
qual,Sustantivo_masculino,fr
quartier,Sustantivo_masculino,fr
quant,Sustantivo_masculino,fr
quai,Sustantivo_masculino,fr
servage,Sustantivo_masculino,fr
sergé,Sustantivo_masculino,fr
sertão,Sustantivo_masculino_2,fr
sextuplé,Sustantivo_masculino,fr
serpent,Sustantivo_masculino_2,fr
sepulcre,Sustantivo_masculino_3,fr
shako,Sustantivo_masculino,fr
